c,L,n,estimator,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_threshold,delta_low,delta_high,unresolved_values
0.5,96,8,spectral_moment,1000,200000,27,1069,164773,0.16336476821952758,0.1600001535210389,0.167400090279652,-0.09268857395275273,-0.09563232960820524,-0.09043813842104093,0
0.5,96,8,inverse_interface_proxy,100,20000,28,105,19557,0.1749825906908954,0.16835764335821768,0.17997845966904524,-0.032750555515009744,-0.03464254926098356,-0.031374129720868664,0
0.5,96,8,inverse_interface_proxy,100,200000,39,105,164773,0.18596418952885319,0.18169886531234927,0.18933345969545984,-0.04320605710303266,-0.04467803201030364,-0.04206995841911845,0
0.5,96,8,inverse_interface_proxy,1000,20000,16,1069,19557,0.1965870036923611,0.1873833058138479,0.20521581994110466,-0.045809842839307835,-0.050711066634070046,-0.04238290995988806,0
0.5,96,8,inverse_interface_proxy,1000,200000,27,1069,164773,0.20038599402966042,0.19629614893197855,0.20543952475202715,-0.055667348142619894,-0.058508377876900934,-0.0531834340352369,0
0.5,128,8,threshold_05,100,20000,28,105,19557,0.20866843801065393,0.20661140049285295,0.21101092070731864,0.0,0.0,0.0,0
0.5,128,8,threshold_05,100,200000,40,105,200000,0.23290598619899094,0.23045191148898342,0.2354920130040005,0.0,0.0,0.0,0
0.5,128,8,threshold_05,1000,20000,16,1069,19557,0.23643434764753696,0.2304074387995228,0.24322245416589025,0.0,0.0,0.0,0
0.5,128,8,threshold_05,1000,200000,28,1069,200000,0.25774540669922497,0.2527883992882217,0.262864764861736,0.0,0.0,0.0,0
0.5,128,8,positive_lobe,100,20000,28,105,19557,0.20300949442991606,0.20078621143541267,0.20534728136239289,-0.005658943580737874,-0.006303851537041163,-0.004983312674751999,0
0.5,128,8,positive_lobe,100,200000,40,105,200000,0.22702474728516164,0.2243445126131838,0.22950527583210115,-0.005881238913829301,-0.006762653238289101,-0.00470328486405862,0
0.5,128,8,positive_lobe,1000,20000,16,1069,19557,0.22753089535793194,0.22062852212449519,0.2342789935710044,-0.008903452289605013,-0.0106467219719453,-0.007291530523665193,0
0.5,128,8,positive_lobe,1000,200000,28,1069,200000,0.25096016867823634,0.24616771657067102,0.25593297277253746,-0.0067852380209886265,-0.008580020846350097,-0.004592025448713795,0
0.5,128,8,spectral_moment,100,20000,28,105,19557,0.13385543728938412,0.1323416226125094,0.13544339428899183,-0.07481300072126981,-0.07558847586658499,-0.07409574401009553,0
0.5,128,8,spectral_moment,100,200000,40,105,200000,0.1501820635116371,0.14827329271020312,0.1523352650302669,-0.08272392268735385,-0.0843633765951504,-0.08139821588022149,0
0.5,128,8,spectral_moment,1000,20000,16,1069,19557,0.15150105142172637,0.1474476522003049,0.15629809631985833,-0.08493329622581058,-0.08736307520498482,-0.08252075738966745,0
0.5,128,8,spectral_moment,1000,200000,28,1069,200000,0.166518845291002,0.1631146109111226,0.17059369265862676,-0.09122656140822297,-0.09417647360274857,-0.08880708108583711,0
0.5,128,8,inverse_interface_proxy,100,20000,28,105,19557,0.17586814777113888,0.17404390794897126,0.17786960005865085,-0.032800290239515056,-0.033391063848431185,-0.032221323820191716,0
0.5,128,8,inverse_interface_proxy,100,200000,40,105,200000,0.18972938414283735,0.1872905422765936,0.19239892251679402,-0.04317660205615359,-0.04491310195653586,-0.04184159416149033,0
0.5,128,8,inverse_interface_proxy,1000,20000,16,1069,19557,0.1921920242992307,0.18757319956491356,0.19788093674859558,-0.044242323348306245,-0.04644530445920258,-0.042010649480945156,0
0.5,128,8,inverse_interface_proxy,1000,200000,28,1069,200000,0.2036036841132488,0.19934901293048543,0.20865432730824193,-0.05414172258597616,-0.057291848998589766,-0.051694034092938275,0
