file,seed,c,L,t,condition,crop_id,pixel_size_sites,width_sites,phase_fraction,length,length_x,length_y,resolved
c1_L128_rep001.npz,2864519957,0.15,128,92142,blur1,full,1,128,0.14105224609375,5.407320549410637,5.148308738801857,5.6663323600194175,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,blur2,full,1,128,0.13128662109375,5.567775165946491,5.269849344337774,5.865700987555209,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,blur1_threshold_minus02,full,1,128,0.1512451171875,5.504518406290114,5.230475029342467,5.778561783237759,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,blur1_threshold_plus02,full,1,128,0.130615234375,5.3566679984728225,5.07688201407552,5.636453982870125,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,crop96,0:0,1,96,0.14051649305555555,4.791679828878555,4.7927949425340115,4.790564715223098,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,crop96,0:32,1,96,0.1519097222222222,4.625958349888069,4.5500716128849055,4.701845086891234,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,crop96,32:0,1,96,0.15711805555555555,4.944313561377377,4.792340524802081,5.096286597952672,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,crop96,32:32,1,96,0.1655815972222222,4.885200224074179,4.714939962785772,5.055460485362587,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,crop64,0:0,1,64,0.166015625,5.771740349346444,5.7293425442375305,5.814138154455357,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,crop64,0:64,1,64,0.135009765625,4.8411908616853125,4.340958625186879,5.341423098183746,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,crop64,64:0,1,64,0.129638671875,5.658120150280709,5.30562275191849,6.010617548642927,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,crop64,64:64,1,64,0.16943359375,4.476692495859098,4.359515337388627,4.593869654329568,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,crop32,0:0,1,32,0.166015625,5.1480034977361315,6.564559288905435,3.7314477065668283,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,crop32,0:96,1,32,0.1240234375,4.836734093918029,4.0186335268505085,5.65483466098555,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,crop32,96:0,1,32,0.279296875,5.677146420136744,4.914631220582187,6.439661619691301,True
c1_L128_rep001.npz,2864519957,0.15,128,92142,crop32,96:96,1,32,0.2109375,4.983513658087427,5.240059877405155,4.726967438769698,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,full,full,1,128,0.1500244140625,5.257951273930503,5.444423197188915,5.071479350672092,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,bin2,full,2,128,0.15869140625,5.567137594377588,5.771471182908556,5.362804005846621,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,bin4,full,4,128,0.1494140625,5.7659040672230315,5.845035331081417,5.686772803364647,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,blur1,full,1,128,0.14312744140625,5.675350473551667,5.891630860743165,5.459070086360168,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,blur2,full,1,128,0.135009765625,5.89070393124516,6.126123462772991,5.655284399717329,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,blur1_threshold_minus02,full,1,128,0.1531982421875,5.754019492901174,5.9217545086116115,5.586284477190736,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,blur1_threshold_plus02,full,1,128,0.13330078125,5.59525361975307,5.793616029925655,5.396891209580485,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,crop96,0:0,1,96,0.1325954861111111,5.4837282508232725,5.323181340830265,5.644275160816281,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,crop96,0:32,1,96,0.13780381944444445,4.93552323742534,5.2302239949248515,4.640822479925827,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,crop96,32:0,1,96,0.1606987847222222,5.366970636823531,5.487970966919036,5.245970306728026,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,crop96,32:32,1,96,0.16536458333333334,4.893114908164888,5.264622165621484,4.521607650708291,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,crop64,0:0,1,64,0.17626953125,6.9185738514789055,6.401358528027821,7.43578917492999,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,crop64,0:64,1,64,0.112548828125,4.8646132267534785,4.293964097176617,5.435262356330341,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,crop64,64:0,1,64,0.138916015625,6.239688704353732,6.3612150839549075,6.118162324752555,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,crop64,64:64,1,64,0.17236328125,4.591138519369018,5.600324937957145,3.5819521007808905,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,crop32,0:0,1,32,0.21484375,6.155543512415905,7.79530399665099,4.515783028180819,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,crop32,0:96,1,32,0.115234375,4.369668678469562,4.0392006773260345,4.700136679613091,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,crop32,96:0,1,32,0.3125,6.985090187067282,7.611778493993554,6.3584018801410105,True
c1_L128_rep001.npz,2864519957,0.15,128,111841,crop32,96:96,1,32,0.2080078125,4.546170622715534,4.90495657577335,4.1873846696577175,True
