c,L,n,condition,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_full,delta_low,delta_high,unresolved_fraction,matched_last_time,matched_last_length_ratio
0.15,128,8,blur1_threshold_plus02,1000,20000,16,1069,19557,0.23463735688708956,0.22073567508533778,0.247738365908526,0.003146442147348466,-0.0001267031299068348,0.007410990125513178,0.0,19557,1.0643337830207222
0.15,128,8,blur1_threshold_plus02,1000,200000,28,1069,200000,0.2608752488252911,0.25198245435182554,0.27083233389154887,0.0008718181419613558,-8.815027212216858e-05,0.002356350411677436,0.0,200000,1.0520757417441782
0.15,128,8,crop96,100,20000,28,105,19557,0.21031439345077774,0.2058097998618506,0.21501529133240352,-0.00011048898213286695,-0.002728429462429184,0.002133826615967834,0.0,19557,1.0059117473713644
0.15,128,8,crop96,1000,20000,16,1069,19557,0.23409789544134962,0.22741337650725102,0.24130911074896264,0.00260698070160853,-0.0030371487851755,0.008520890256501037,0.0,19557,1.0059117473713644
0.15,128,8,crop96,1000,200000,28,1069,200000,0.26199462955681874,0.2537673838098323,0.26935585906350445,0.001991198873488975,-0.0033820198243095425,0.007244751679013191,0.0,200000,0.9920540445069621
0.15,128,8,crop64,100,20000,28,105,19557,0.21050038901727366,0.20305665765078657,0.21841251252232588,7.55065843630609e-05,-0.001900975510746261,0.0020232904221435064,0.0,19557,1.0014725668175921
0.15,128,8,crop64,1000,20000,16,1069,19557,0.2313109380628806,0.21795334081796383,0.24642206732964803,-0.0001799766768604827,-0.004176346880466813,0.004109711361796595,0.0,19557,1.0014725668175921
0.15,128,8,crop64,1000,200000,28,1069,200000,0.2626918642893022,0.2488507005056017,0.2760747383217765,0.002688433605972429,-0.003759934931515158,0.00856377813533934,0.0,200000,1.0258714241566786
0.15,128,8,crop32,100,20000,28,105,19557,0.20700522344745437,0.19117039666747082,0.22181976622285693,-0.0034196589854562365,-0.013874196345875216,0.006962714986198134,0.0,19557,0.9915267346546072
0.15,128,8,crop32,1000,20000,16,1069,19557,0.2274352955337105,0.19153058568928216,0.2620612520406053,-0.004055619206030592,-0.02773246487810585,0.018772973519607248,0.0,19557,0.9915267346546072
0.15,128,8,crop32,1000,200000,28,1069,200000,0.22835694479593316,0.1964915071984678,0.2657268549080748,-0.0316464858873966,-0.05789827823903183,-0.0021314067402985488,0.0,200000,0.773852223946053
0.15,128,8,periodic_engine,100,20000,28,105,19557,0.21235847608964867,0.207188331664008,0.2178076466882103,0.001933593656738064,0.00023604499881002065,0.0033726856857713523,0.0,19557,1.0146969558419532
0.15,128,8,periodic_engine,1000,20000,16,1069,19557,0.23522889545213926,0.22482416062959298,0.24643338496593628,0.00373798071239817,0.0005883110537501508,0.006303863736435376,0.0,19557,1.0146969558419532
0.15,128,8,periodic_engine,1000,200000,28,1069,200000,0.26037317015856276,0.25148070784267806,0.26890196389611987,0.00036973947523299966,-0.0026955309977917106,0.0034317737195968838,0.0,200000,1.0004792669421698
0.5,32,8,full,100,20000,28,105,19557,0.21147450068854692,0.19958842213295078,0.22319673255887607,0.0,0.0,0.0,0.07083333333333333,19557,1.0
0.5,32,8,full,1000,20000,16,1069,19557,0.23276674453508917,0.20963329636265426,0.25618437590884907,0.0,0.0,0.0,0.07083333333333333,19557,1.0
0.5,32,8,full,1000,200000,19,1069,34974,0.25109009499441926,0.22312108506516282,0.28338486915062494,0.0,0.0,0.0,0.07083333333333333,34974,1.0
0.5,32,8,bin2,100,20000,28,105,19557,0.19675690382837938,0.18335076165021558,0.21090827345006297,-0.014717596860167548,-0.017805744397050644,-0.011624950586685473,0.07291666666666667,19557,1.0218686389693175
