c,L,t,n,length,standard_error
0.15,32,19557,8,3.1075709650648258,0.1543701690582897
0.15,32,23739,8,2.955326951042119,0.13520984379104145
0.15,32,28814,8,3.4074950059295444,0.1537281855391485
0.15,32,34974,8,3.3604882939947998,0.24373669248116558
0.15,32,42451,8,3.8065942809790316,0.20278129949678167
0.15,32,51526,8,3.9961820546735707,0.20116665990863325
0.15,32,62542,8,3.968850530345784,0.1457071893847541
0.15,32,75913,8,4.1859317384479136,0.08479782351624332
0.15,32,92142,8,4.298700107672276,0.040827024634227625
0.15,32,111841,8,4.234318251587265,0.07367617801437601
0.15,32,135751,8,4.122118767327508,0.09166966831437989
0.15,32,164773,8,4.189739422158246,0.11602780604069998
0.15,32,200000,8,4.182104140061599,0.047484880899388376
0.15,64,1,8,0.6065347612504846,0.0024662097009301074
0.15,64,2,8,0.6301015034310642,0.003717722027572379
0.15,64,3,8,0.6460912379416632,0.0038516422086243233
0.15,64,4,8,0.662383293901072,0.003941282925798014
0.15,64,5,8,0.6744912160633953,0.004296951193181785
0.15,64,6,8,0.6869372576409598,0.006080780122510911
0.15,64,7,8,0.6957838325675253,0.0053989562397785025
0.15,64,8,8,0.7040511118058039,0.005550852812141898
0.15,64,10,8,0.7169036284267424,0.006803837185138449
0.15,64,12,8,0.7282427712864681,0.00624805553406286
0.15,64,15,8,0.7413672048778521,0.004878028788330473
0.15,64,18,8,0.7567058790107544,0.005316135880283555
0.15,64,22,8,0.7685533851838977,0.006198803740788823
0.15,64,27,8,0.794929463544896,0.006718912220249353
0.15,64,33,8,0.810902515640266,0.006721438086253537
0.15,64,40,8,0.8288928380264584,0.005193826352943019
0.15,64,48,8,0.8576302831160796,0.0077643818031637845
0.15,64,58,8,0.874369172582455,0.009291053300105804
0.15,64,71,8,0.8909970826351274,0.009229411722217758
0.15,64,86,8,0.9335729268534253,0.011805189236082854
0.15,64,105,8,0.954042373952986,0.01376186557204269
0.15,64,127,8,0.9723934197864221,0.012914045380766686
0.15,64,154,8,1.0247068937839914,0.014185659899580965
0.15,64,187,8,1.0484756088818004,0.012357879283359071
0.15,64,227,8,1.0816706906112528,0.016774551429922218
0.15,64,276,8,1.137060813299553,0.019370702811486604
0.15,64,334,8,1.2024290478774355,0.012079848885921585
0.15,64,406,8,1.2225887186075575,0.016226166441739277
0.15,64,493,8,1.2813095536060637,0.019137117330402374
0.15,64,598,8,1.3246218957929767,0.01874652770304683
0.15,64,726,8,1.346053266911646,0.020920487042687085
0.15,64,881,8,1.3921117436691273,0.017247538136107
0.15,64,1069,8,1.4605561666459017,0.012345078737613096
0.15,64,1298,8,1.5451316886148976,0.017186590018829044
0.15,64,1576,8,1.615409939168905,0.024497322058136033
0.15,64,1912,8,1.6815371114135615,0.028244344068292262
0.15,64,2321,8,1.7240133290657351,0.02478520534379809
0.15,64,2818,8,1.8213691836418118,0.030255178374190672
0.15,64,3420,8,1.8937518054202667,0.033334452763143556
0.15,64,4151,8,1.9488304872381454,0.03243170725450246
0.15,64,5039,8,2.05301008747118,0.03709445092732159
0.15,64,6116,8,2.1886862490503654,0.05352836753261345
0.15,64,7423,8,2.3671742744002895,0.03543532104303741
0.15,64,9010,8,2.3572517271142464,0.05680715898693298
0.15,64,10937,8,2.531196994235284,0.06958258275948867
0.15,64,13275,8,2.697604066841307,0.06803055798127976
0.15,64,16113,8,2.9122793868102796,0.12137159837223938
0.15,64,19557,8,2.9995235993630387,0.07838652459771837
0.15,64,23739,8,3.1400105703170635,0.06626362554524964
0.15,64,28814,8,3.3114836726513754,0.09163193875426134
0.15,64,34974,8,3.4302745242595902,0.09901692151883763
0.15,64,42451,8,3.686564935857982,0.0865871997398572
0.15,64,51526,8,3.7412864140907214,0.0818507237978042
0.15,64,62542,8,3.922720828930821,0.10150605842402835
0.15,64,75913,8,4.040924362105735,0.15562218146084852
0.15,64,92142,8,4.2966433553956405,0.124391393658972
0.15,64,111841,8,4.598716379081491,0.16201308294104153
0.15,64,135751,8,5.350640591406298,0.19592976200762077
0.15,64,164773,8,5.887071566360905,0.23194180787292826
0.15,64,200000,8,6.223909564380584,0.2163628739908975
0.15,96,1,8,0.6061084296061217,0.0020268934447945624
0.15,96,2,8,0.6327067939963077,0.003034821583855727
0.15,96,3,8,0.651774797274067,0.0024479731943066367
0.15,96,4,8,0.6665157258015362,0.002531424685004493
0.15,96,5,8,0.6767703263679077,0.002419370419539783
0.15,96,6,8,0.6846953564740718,0.0027253126293492573
0.15,96,7,8,0.6929437358792584,0.002490021174889063
0.15,96,8,8,0.6997721212200092,0.0020142046871311553
0.15,96,10,8,0.713767207937617,0.002495997327321492
0.15,96,12,8,0.7224732106783358,0.0019585943897039546
0.15,96,15,8,0.7347951779914222,0.0036205000393720985
0.15,96,18,8,0.7475465119057579,0.0030345839033252666
0.15,96,22,8,0.7653389954062866,0.0027478291541815046
0.15,96,27,8,0.7836851696194598,0.0024454441107208107
0.15,96,33,8,0.7966169908501315,0.0038251801770409757
0.15,96,40,8,0.8175921458447919,0.0034978852927797853
0.15,96,48,8,0.8355270781710701,0.0036498839017885224
0.15,96,58,8,0.8571521067761942,0.0031712360078724115
0.15,96,71,8,0.8801985184583119,0.004054288860083565
0.15,96,86,8,0.9157069376330108,0.0040466194574859775
0.15,96,105,8,0.9341007949442146,0.004302641198181431
0.15,96,127,8,0.959037160323227,0.00708635185307073
0.15,96,154,8,0.9880483362516518,0.005671434645596703
0.15,96,187,8,1.0312867731155722,0.0072028485593682995
0.15,96,227,8,1.0617607253141086,0.009213253062167009
0.15,96,276,8,1.1114578652562224,0.010457630412963582
0.15,96,334,8,1.1500698609972044,0.009913065459196816
0.15,96,406,8,1.1861940838207057,0.011903637626154314
0.15,96,493,8,1.2629060545164843,0.008566773780154099
0.15,96,598,8,1.30447242496046,0.01768942476089854
0.15,96,726,8,1.356057246620936,0.01972915758318101
0.15,96,881,8,1.3819568693054578,0.01390143232507412
0.15,96,1069,8,1.4620842890808312,0.012733164289707543
0.15,96,1298,8,1.5483730932113293,0.013853158912548846
0.15,96,1576,8,1.6099441547518794,0.01929884934331774
0.15,96,1912,8,1.6599594598275942,0.02080703463344585
0.15,96,2321,8,1.7485910412097652,0.016163683774821403
0.15,96,2818,8,1.8387576998990505,0.014397933632594851
0.15,96,3420,8,1.8942091077725238,0.012028944603334667
0.15,96,4151,8,2.0151409047663313,0.02500235063521728
0.15,96,5039,8,2.0509230313280913,0.016907293081000266
0.15,96,6116,8,2.1307776951376183,0.0332841475912679
0.15,96,7423,8,2.238300769090157,0.04142565119188854
0.15,96,9010,8,2.2852919910114324,0.03606766195682596
0.15,96,10937,8,2.3856479509513453,0.04016980015492124
0.15,96,13275,8,2.512218493664037,0.026028593909998027
0.15,96,16113,8,2.6444098049448344,0.04808403985624112
0.15,96,19557,8,2.8445987793047727,0.025392937639324827
0.15,96,23739,8,3.073580427978605,0.0424362723687675
0.15,96,28814,8,3.2173040854997974,0.06197468662707094
0.15,96,34974,8,3.42505089346099,0.06449089461257088
0.15,96,42451,8,3.6113699796973613,0.08724374089136555
0.15,96,51526,8,3.756679277159872,0.08787110832655869
0.15,96,62542,8,3.9368111091347644,0.04982192047841833
0.15,96,75913,8,4.19822627346829,0.08535381699777579
0.15,96,92142,8,4.510024579795374,0.09377837500103063
0.15,96,111841,8,4.840895242139402,0.14017734167966353
0.15,96,135751,8,5.00147180998568,0.09268641976061695
0.15,96,164773,8,5.315402218693579,0.10552306159403815
0.15,96,200000,8,5.568001703542677,0.08786864978744025
0.15,128,1,8,0.6038150555677754,0.0016804634831515978
0.15,128,2,8,0.6290686610015834,0.001144888825755723
0.15,128,3,8,0.6463320355811326,0.001694943816446747
0.15,128,4,8,0.6609231192963303,0.002087154136275
0.15,128,5,8,0.6724577584538837,0.0018765755937245332
0.15,128,6,8,0.6803049599415703,0.0016533582864227923
0.15,128,7,8,0.6876074826065466,0.0014366240510947368
0.15,128,8,8,0.6942121264113895,0.0012477353627571052
0.15,128,10,8,0.7078211742001805,0.0018040638164857372
0.15,128,12,8,0.7171085981581217,0.0015278118744437312
0.15,128,15,8,0.7328033971974961,0.0010090219800923611
0.15,128,18,8,0.7460266910269701,0.0007799359912505715
0.15,128,22,8,0.763865836436224,0.0021374919941729307
0.15,128,27,8,0.7797981164900245,0.0023274780781704723
0.15,128,33,8,0.7986966466475344,0.0013886260811846916
0.15,128,40,8,0.8198904393233711,0.002604840094578748
0.15,128,48,8,0.8380646153882987,0.0021649604573169144
0.15,128,58,8,0.8584564076606707,0.002169919558639083
0.15,128,71,8,0.8806506951246444,0.0026497148011511134
0.15,128,86,8,0.9072361344323645,0.004127472781917726
0.15,128,105,8,0.9377516283266473,0.0035885878947413147
0.15,128,127,8,0.9711554446152855,0.0028935896562896487
0.15,128,154,8,1.0060054187235565,0.0055805414105494335
0.15,128,187,8,1.0479642689689035,0.006465060103482648
0.15,128,227,8,1.0789975595437549,0.007952424181612726
0.15,128,276,8,1.1325320820871498,0.007689469816731397
0.15,128,334,8,1.1760757417933074,0.010532600045767209
0.15,128,406,8,1.2338710524421599,0.007317387296887746
0.15,128,493,8,1.2689677311983545,0.009263476640316685
0.15,128,598,8,1.3132404157266522,0.010455382393409292
0.15,128,726,8,1.3741913287271847,0.010965815723656775
0.15,128,881,8,1.42129671845544,0.010922982037464255
0.15,128,1069,8,1.4750425869166868,0.0075669178523563845
0.15,128,1298,8,1.5359386903291496,0.012403285093041895
0.15,128,1576,8,1.5770372264859993,0.01297370641970838
0.15,128,1912,8,1.6443109450856688,0.013816682963092573
0.15,128,2321,8,1.7109726424724505,0.015922665283206763
0.15,128,2818,8,1.7924946035861609,0.021067248215845873
0.15,128,3420,8,1.8722387223311483,0.016290562382272812
0.15,128,4151,8,1.971523206817872,0.03002081337856466
0.15,128,5039,8,2.0513342255504377,0.030325277382007045
0.15,128,6116,8,2.160525891772279,0.027079741055943386
0.15,128,7423,8,2.220781969871984,0.03246479403832954
0.15,128,9010,8,2.377727008776493,0.0321616729980364
0.15,128,10937,8,2.498847197690396,0.03973777969567245
0.15,128,13275,8,2.6283195951224467,0.03330258718389376
0.15,128,16113,8,2.766906997541992,0.038014514201421705
0.15,128,19557,8,2.8944460168924273,0.02165877081571498
0.15,128,23739,8,3.0502341799118153,0.04835498393955521
0.15,128,28814,8,3.269918546205156,0.05609496975877523
0.15,128,34974,8,3.3984894933797043,0.06520910197649325
0.15,128,42451,8,3.5467844040974095,0.05272051513148785
0.15,128,51526,8,3.7577438752813253,0.05480873366215674
0.15,128,62542,8,3.997024442211378,0.08143214400492411
0.15,128,75913,8,4.254129985167665,0.07476354379063305
0.15,128,92142,8,4.489609020289945,0.0605919787466322
0.15,128,111841,8,4.7583086612433245,0.08556216195000704
0.15,128,135751,8,5.0909129469873395,0.11075266636525033
0.15,128,164773,8,5.370206632543768,0.11169447471645999
0.15,128,200000,8,5.688746204055685,0.08354576772334268
