composition,L,reference_L,sweep,n_small,n_reference,resolved_small,resolved_reference,mean_small,mean_reference,difference_sites,ratio,ratio_low,ratio_high,status
0.5,64,128,66,16,16,True,True,1.094049174065703,1.0938837270374997,0.0001654470282033138,1.000151247362141,0.9871167899658257,1.0122313975067936,resolved
0.5,64,128,79,16,16,True,True,1.121646993722482,1.1270141304201975,-0.005367136697715491,0.995237737883806,0.9859357827510864,1.0045773463120964,resolved
0.5,64,128,94,16,16,True,True,1.149678247022331,1.159631369327792,-0.00995312230546097,0.9914169945995592,0.9784146922428807,1.0039693240860181,resolved
0.5,64,128,112,16,16,True,True,1.1831991621015916,1.1897929004846215,-0.006593738383029901,0.9944580788973071,0.9798436754486253,1.0077669366323696,resolved
0.5,64,128,134,16,16,True,True,1.227895361989356,1.2231404738510923,0.0047548881382637465,1.0038874423992306,0.9893473830700871,1.0168811683532715,resolved
0.5,64,128,159,16,16,True,True,1.2598694181933427,1.259845200118311,2.4218075031834374e-05,1.0000192230561578,0.9805331351484835,1.0206172732753644,resolved
0.5,64,128,190,16,16,True,True,1.30151884293374,1.2947598038552535,0.006759039078486628,1.0052203034557923,0.9887566584986653,1.0207138998702754,resolved
0.5,64,128,226,16,16,True,True,1.341160356916298,1.331619209491258,0.009541147425039975,1.0071650719342544,0.9941675066002805,1.0208566438715108,resolved
0.5,64,128,269,16,16,True,True,1.379473151327477,1.3749535297965956,0.004519621530881368,1.0032871085698074,0.9917065532397232,1.0154891845671983,resolved
0.5,64,128,321,16,16,True,True,1.4235984299442452,1.4107233097637706,0.012875120180474653,1.0091266090886601,0.9979100260950986,1.0215060215125422,resolved
0.5,64,128,382,16,16,True,True,1.463311199958161,1.451268556207827,0.012042643750334037,1.008298011900569,0.998581519354209,1.0187973761459745,resolved
0.5,64,128,455,16,16,True,True,1.5047127151310207,1.4954663998086948,0.009246315322325893,1.0061828974047886,0.9957507049311328,1.0165264765865447,resolved
0.5,64,128,542,16,16,True,True,1.5506951722244584,1.5433605469579483,0.007334625266510075,1.0047523731774581,0.9898622275655795,1.018229883853321,resolved
0.5,64,128,646,16,16,True,True,1.602234106299591,1.5952228635609007,0.00701124273869036,1.0043951493542662,0.9904196563763363,1.016454394234886,resolved
0.5,64,128,769,16,16,True,True,1.639006841915809,1.644218970943836,-0.005212129028026924,0.9968300274354365,0.983703731613978,1.0086307416608316,resolved
0.5,64,128,916,16,16,True,True,1.6911531043138304,1.705074770745855,-0.013921666432024526,0.9918351578060505,0.9785620014791379,1.0044837933957431,resolved
0.5,64,128,1091,16,16,True,True,1.7469597317988441,1.7599291720821324,-0.01296944028328828,0.9926307032754367,0.9752423792705206,1.0065575336920851,resolved
0.5,64,128,1300,16,16,True,True,1.8136928192359223,1.821080326449644,-0.007387507213721722,0.9959433380799164,0.9790389072117751,1.0107597835334354,resolved
0.5,64,128,1548,16,16,True,True,1.8710029089718012,1.888415918937344,-0.017413009965542736,0.9907790387748153,0.9682514512488759,1.0115774130286808,resolved
0.5,64,128,1844,16,16,True,True,1.9638284877243606,1.9633149403811443,0.0005135473432162918,1.0002615715556653,0.9792611609214055,1.0203532394259902,resolved
0.5,64,128,2197,16,16,True,True,2.0255870988104046,2.040969165966442,-0.015382067156037404,0.9924633515231213,0.9655136850577536,1.0167538139786594,resolved
0.5,64,128,2617,16,16,True,True,2.1106734884165603,2.1259524359350954,-0.015278947518535091,0.9928131282430057,0.9667268043520318,1.0184072372052693,resolved
0.5,64,128,3117,16,16,True,True,2.191975894204006,2.207368292120819,-0.015392397916812683,0.9930268102646234,0.9718171623354093,1.0116554889147005,resolved
0.5,64,128,3712,16,16,True,True,2.2688068304120796,2.3080797584576667,-0.03927292804558702,0.9829845879884885,0.9658814805216266,0.9986017981882837,resolved
0.5,64,128,4421,16,16,True,True,2.3776930478829827,2.391510399383888,-0.01381735150090524,0.994222332671242,0.9695124440564642,1.0199272926481922,resolved
0.5,64,128,5266,16,16,True,True,2.4593097790048684,2.4987514124273393,-0.03944163342247098,0.9842154632804563,0.9578795491192758,1.0076128133565967,resolved
