composition,L,sweep,n_replicas,resolved_all,resolved_x,resolved_y,mean_length_x,mean_length_y,mean_length,standard_error,length_over_L
0.5,64,102958,16,False,16,15,5.558412034749659,nan,nan,nan,nan
0.5,64,122633,16,False,16,15,5.745815869963136,nan,nan,nan,nan
0.5,64,146069,16,True,16,16,6.16492656470911,7.911078214547458,7.038002389628285,0.5072041445633105,0.10996878733794195
0.5,64,173983,16,True,16,16,6.481907896206607,8.698216165905764,7.590062031056185,0.6541483860363417,0.11859471923525289
0.5,64,207231,16,False,16,15,6.70435706961237,nan,nan,nan,nan
0.5,64,246834,16,False,16,15,6.901532512959461,nan,nan,nan,nan
0.5,64,294005,16,True,16,16,7.1769353672183795,9.023396690512257,8.100166028865319,0.33694400051550977,0.1265650942010206
0.5,64,350190,16,True,16,16,7.409619577013387,9.987951912725334,8.69878574486936,0.39941201797287934,0.13591852726358375
0.5,64,417112,16,False,16,15,7.569900527266068,nan,nan,nan,nan
0.5,64,496824,16,False,16,14,8.170929307423107,nan,nan,nan,nan
0.5,64,591769,16,False,16,12,8.298687106607359,nan,nan,nan,nan
0.5,64,704857,16,False,15,11,nan,nan,nan,nan,nan
0.5,64,839558,16,False,15,10,nan,nan,nan,nan,nan
0.5,64,1000000,16,False,15,10,nan,nan,nan,nan,nan
0.5,96,1,16,True,16,16,0.6725551202401627,0.6693431657901381,0.6709491430151505,0.0013055665357084808,0.006989053573074485
0.5,96,2,16,True,16,16,0.713467180613679,0.708061193845059,0.710764187229369,0.0014348089643936575,0.007403793616972593
0.5,96,3,16,True,16,16,0.741729068980842,0.7343118188117846,0.7380204438963132,0.001423526492779991,0.007687712957253262
0.5,96,4,16,True,16,16,0.7619894079967263,0.7592315975342905,0.7606105027655085,0.0014862556298529544,0.007923026070474046
0.5,96,5,16,True,16,16,0.7818952289011321,0.7755509290304465,0.7787230789657893,0.0017349584285329246,0.008111698739226972
0.5,96,6,16,True,16,16,0.8005860032922069,0.7915582968915684,0.7960721500918877,0.0015422251967103539,0.00829241823012383
0.5,96,7,16,True,16,16,0.8110867886523413,0.8079380315260505,0.8095124100891959,0.0016004727510957554,0.008432420938429124
0.5,96,8,16,True,16,16,0.8269508875548129,0.8184308431183307,0.8226908653365717,0.001903704749746447,0.008569696513922621
0.5,96,10,16,True,16,16,0.8481789470982289,0.8423385770821818,0.8452587620902053,0.0018890191893048518,0.008804778771772973
0.5,96,12,16,True,16,16,0.8667286930510363,0.8623584456405291,0.8645435693457828,0.0019695894574088975,0.009005662180685237
0.5,96,14,16,True,16,16,0.8822374572646681,0.881272358933318,0.881754908098993,0.0021331178816378134,0.00918494695936451
0.5,96,16,16,True,16,16,0.8963940556159093,0.8939914839109766,0.895192769763443,0.0017753415650025935,0.009324924685035865
0.5,96,20,16,True,16,16,0.9231126924001188,0.9226750801025247,0.922893886251322,0.0018971406760779474,0.009613477981784604
0.5,96,23,16,True,16,16,0.9385249685400496,0.938290461323553,0.9384077149318013,0.002356732460695363,0.00977508036387293
0.5,96,28,16,True,16,16,0.9634979821864574,0.9642045368027774,0.9638512594946174,0.0018071700124662,0.010040117286402264
0.5,96,33,16,True,16,16,0.9835789948543525,0.982406734971872,0.9829928649131121,0.002637139420203368,0.010239509009511585
0.5,96,39,16,True,16,16,1.0095284238598734,1.0072531655865176,1.0083907947231954,0.002816271941633505,0.010504070778366618
0.5,96,47,16,True,16,16,1.0402499825527807,1.0329835505789755,1.036616766565878,0.003258880394208608,0.010798091318394563
0.5,96,56,16,True,16,16,1.0693819253180992,1.063111892704344,1.0662469090112214,0.0030136533400082397,0.011106738635533556
0.5,96,66,16,True,16,16,1.099973143150239,1.0959702193141931,1.0979716812322162,0.0035637152722586872,0.011437205012835586
0.5,96,79,16,True,16,16,1.1254633920904493,1.130777888152596,1.128120640121523,0.004461926496076365,0.01175125666793253
0.5,96,94,16,True,16,16,1.1633258328337628,1.157182420994373,1.1602541269140676,0.005793341933409119,0.012085980488688204
0.5,96,112,16,True,16,16,1.1998252434100154,1.19447477833291,1.1971500108714628,0.005490246224442152,0.012470312613244404
0.5,96,134,16,True,16,16,1.2252194253158664,1.2287321933649236,1.226975809340395,0.005849933185833552,0.01278099801396245
0.5,96,159,16,True,16,16,1.2643334378991224,1.2584707807726472,1.2614021093358847,0.005955523447718241,0.013139605305582133
0.5,96,190,16,True,16,16,1.301503089809827,1.2983975281474587,1.299950308978643,0.006818274357916516,0.013541149051860865
